Position,Query Time
714,Tue Sep 20 23:55:07 2022
694,Wed Sep 21 17:50:07 2022
694,Wed Sep 21 17:51:07 2022
694,Wed Sep 21 17:52:07 2022
694,Wed Sep 21 17:55:06 2022
694,Wed Sep 21 18:00:10 2022
694,Wed Sep 21 18:05:07 2022
694,Wed Sep 21 18:10:08 2022
694,Wed Sep 21 18:15:08 2022
694,Wed Sep 21 18:20:07 2022
694,Wed Sep 21 18:25:06 2022
694,Wed Sep 21 18:30:07 2022
694,Wed Sep 21 18:35:07 2022
694,Wed Sep 21 18:40:07 2022
694,Wed Sep 21 18:45:06 2022
694,Wed Sep 21 18:50:07 2022
694,Wed Sep 21 18:55:07 2022
694,Wed Sep 21 21:50:06 2022
694,Wed Sep 21 21:55:07 2022
694,Wed Sep 21 22:00:06 2022
694,Wed Sep 21 22:05:06 2022
694,Wed Sep 21 22:10:08 2022
694,Wed Sep 21 22:15:06 2022
694,Wed Sep 21 22:20:06 2022
694,Wed Sep 21 22:25:06 2022
694,Wed Sep 21 22:30:05 2022
694,Wed Sep 21 22:35:06 2022
694,Wed Sep 21 22:40:06 2022
694,Wed Sep 21 22:45:07 2022
694,Wed Sep 21 22:50:05 2022
694,Wed Sep 21 22:55:05 2022
694,Wed Sep 21 23:00:06 2022
694,Wed Sep 21 23:05:11 2022
694,Wed Sep 21 23:10:06 2022
694,Wed Sep 21 23:15:05 2022
694,Wed Sep 21 23:20:06 2022
694,Wed Sep 21 23:25:05 2022
694,Wed Sep 21 23:30:06 2022
694,Wed Sep 21 23:35:06 2022
694,Wed Sep 21 23:40:05 2022
694,Wed Sep 21 23:45:05 2022
694,Wed Sep 21 23:50:07 2022
694,Wed Sep 21 23:55:06 2022
694,Thu Sep 22 00:00:06 2022
694,Thu Sep 22 00:05:06 2022
694,Thu Sep 22 00:10:06 2022
694,Thu Sep 22 00:15:06 2022
694,Thu Sep 22 00:20:07 2022
694,Thu Sep 22 00:25:06 2022
694,Thu Sep 22 00:30:07 2022
694,Thu Sep 22 00:35:05 2022
694,Thu Sep 22 00:40:11 2022
694,Thu Sep 22 00:45:06 2022
694,Thu Sep 22 00:50:05 2022
694,Thu Sep 22 00:55:06 2022
694,Thu Sep 22 01:00:06 2022
